rackTotCnt,stationName,parkingBikeTotCnt,shared,stationLatitude,stationLongitude,stationId
10,569. 응봉현대아파트 정류소,0,0,37.54958344,127.03024292,ST-370
20,571. 어린이대공원역6번출구,0,0,37.54849625,127.07476044,ST-382
10,572. 국립정신 건강센터 앞,2,20,37.56538010,127.08650970,ST-383
10,573. 구의문주차장 앞,8,80,37.54523087,127.08473206,ST-384
45,574. 아차산역4번출구,19,42,37.55184937,127.08898163,ST-385
10,575. 대원중고교 입구(대하빌딩),6,60,37.56429291,127.08693695,ST-386
10,576. 광나루역 3번 출구,16,160,37.54483032,127.10426331,ST-387
9,577. 광진청소년수련관,9,100,37.54654694,127.10613251,ST-388
8,578. 성동세무서 부근,10,125,37.54829025,127.06246185,ST-371
8,579. 마장역 4번출구,1,13,37.56520462,127.04184723,ST-372
10,582. 경일중학교 앞,8,80,37.54317856,127.04907990,ST-375
20,583. 청계천 생태교실 앞,25,125,37.56797028,127.04689026,ST-376
20,584. 광진광장 교통섬,5,25,37.54782867,127.07263184,ST-445
9,585. 성수2가1동 공영주차장 인근,10,111,37.53680801,127.05548859,ST-446
10,586. 마장동 주민센터,7,70,37.56594086,127.04539490,ST-447
10,587. 유니베라 앞,2,20,37.54541779,127.05264282,ST-482
20,588. 뚝섬 유원지역,8,40,37.53268814,127.06749725,ST-483
8,589. 성수역3번출구,7,88,37.54415894,127.05665588,ST-506
20,590. 건국대학교 (입학정보관),3,15,37.53989029,127.07336426,ST-972
5,591. 건국대학교 (행정관),3,60,37.54277802,127.07537079,ST-973
30,592. 건국대학교 학생회관,7,23,37.54191208,127.07763672,ST-974
5,593.자양중앙나들목,19,380,37.52858734,127.07787323,ST-980
15,594. 중랑물재생센터(서울새활용플라자),21,140,37.55836487,127.05690765,ST-967
10,600. 휘경2동 주민센터,18,180,37.58991241,127.06867981,ST-260
10,601. 용신동주민센터,11,110,37.57594681,127.03736115,ST-261
10,602. 장안동 사거리,48,480,37.57217407,127.07138824,ST-262
15,604. 답십리초등학교 옆 공원,46,307,37.56965637,127.05596161,ST-264
8,605. 신설동역8번출구,20,250,37.57419968,127.02649689,ST-265
15,606. 휘경공고앞,29,193,37.58462524,127.07028961,ST-266
15,607. 신이문역 2번출구,26,173,37.60271072,127.06786346,ST-267
10,608. 전농삼성아파트,0,0,37.58131027,127.05534363,ST-268
30,609. 제기2교,44,147,37.58774567,127.03738403,ST-269
10,610. 동대문중 교차로,7,70,37.57308578,127.05216217,ST-270
18,612. 시립동부병원 앞 사거리,8,44,37.57366562,127.03081512,ST-271
8,613. 신설동역 10번출구 앞,9,113,37.57527161,127.02346802,ST-272
23,614. 용두동 사거리,11,48,37.57768631,127.03101349,ST-273
25,615. 용두동 래미안허브리츠아파트 앞,17,68,37.57638168,127.03511047,ST-274
10,616. 서울시립대 앞,0,0,37.58256149,127.05436707,ST-275
20,617. 청솔우성아파트 앞,55,275,37.57420349,127.05769348,ST-276
8,621. 동대문중학교 옆,8,100,37.57489014,127.05353546,ST-389
15,622. 전농사거리 교통섬,39,260,37.57779312,127.05783081,ST-390
25,623. 서울시립대 정문 앞,0,0,37.58369827,127.05385590,ST-391
10,624. 전농동 동아아파트 앞,18,180,37.57418823,127.04589081,ST-392
9,625. 답십리초등학교 앞(현대시장 옆),5,56,37.56819153,127.05717468,ST-393
17,626. 군자교 서측 녹지대,43,253,37.56115341,127.07096863,ST-394
10,627. 장안동삼거리 교통섬,47,470,37.57863235,127.07190704,ST-395
15,628. 휘봉고등학교 앞,40,267,37.58681488,127.06754303,ST-396
15,630. 동대문구 보건소,19,127,37.57485199,127.04030609,ST-397
15,631. 답십리역 1번출구,27,180,37.56818390,127.05127716,ST-398
8,633. 청량리 기업은행 앞,25,313,37.58040619,127.04482269,ST-400
24,634. 외국어대 정문 앞,21,88,37.59601974,127.05982971,ST-401
12,635. 시조사 앞 (청량고정문 옆),6,50,37.58751678,127.05277252,ST-402
9,636. 세종대왕기념관 교차로,12,133,37.59090042,127.04258728,ST-403
10,637. KAIST 경영대학 앞,12,120,37.59161377,127.04579163,ST-404
10,638. 서울시립대 정보기술관,3,30,37.58300781,127.06097412,ST-405
14,639. 서울시립대 후문,0,0,37.58519745,127.06095123,ST-406
6,640. 청량리역 2번출구,16,267,37.58255005,127.04460144,ST-407
10,641. 용두역 4번출구,9,90,37.57375336,127.03853607,ST-408
9,642. 신답역 사거리,36,400,37.57035446,127.04843140,ST-409
10,643. 동대문구민체육센터 (육교아래),33,330,37.56697083,127.07429504,ST-410
10,646. 장한평역 1번출구,28,280,37.56196594,127.06450653,ST-1298
10,647. 신이문역 1번출구,9,90,37.60279846,127.06726837,ST-1299
15,648. 장안동위더스빌옆,46,307,37.56669998,127.06242371,ST-1300
10,652. 답십리 래미안엘파인아파트 입구,26,260,37.57653046,127.06594086,ST-1447
10,654. 전농동 텃골공원,8,80,37.57762146,127.05210876,ST-1449
10,656. 영휘원 교차로,23,230,37.58723831,127.04313660,ST-1628
13,657. 동대문롯데캐슬아파트 앞,29,223,37.57551956,127.04877472,ST-1629
10,658. 촬영소 사거리,20,200,37.57288361,127.06604767,ST-1630
25,659. 제기역1번출구,25,100,37.57835007,127.03338623,ST-1631
10,660. 동의보감타워,12,120,37.57799911,127.03762817,ST-1632
15,661. 경희대학교 청운관,2,13,37.59460068,127.05197144,ST-1625
10,663. 외대앞역 4번출구,16,160,37.59489059,127.06302643,ST-1671
10,664. 서울시립대 건설공학관,1,10,37.58412933,127.05793762,ST-1758
11,665.이문동 쌍용아파트 정문,5,45,37.59960556,127.06864166,ST-2265
20,666.이문대성유니드아파트 앞,45,225,37.60362244,127.07083130,ST-2266
