대여소_ID,주소1,주소2,위도,경도
ST-1981,서울특별시 영등포구 신길로 119 신길뉴타운 한화 꿈에그린,,37.503136,126.91008
ST-1980,서울특별시 영등포구 양평동 1-1,,37.541851,126.893806
ST-198,서울특별시 중구 신당동 99,신당역 5번 출구,37.565849,127.016403
ST-1979,서울특별시 영등포구 양평동2가 33-80,,37.525555,126.885872
ST-1978,서울특별시 영등포구 선유로 87,,37.521828,126.889725
ST-1977,서울특별시 영등포구 문래동3가 55-13,,37.517071,126.899086
ST-1976,서울특별시 영등포구 문래로4길 6 현대아파트,,37.520218,126.882164
ST-1975,서울특별시 영등포구 도림동 187-87,,37.511242,126.898186
ST-1974,서울특별시 영등포구 도신로15길 5 영등포 다목적 배드민턴 체육관,,37.506115,126.89859
ST-1973,서울특별시 영등포구 당산동4가 10-21,,37.52869,126.903862
ST-1972,서울특별시 영등포구 당산동4가 80-2,,37.530735,126.89917
ST-1971,서울특별시 영등포구 여의서로 60-2 가로판매대22,,37.531792,126.922455
ST-1970,서울특별시 영등포구 여의도동 1-1,,37.527508,126.914299
ST-197,서울특별시 중구 신당동 357-1,약수역 10번출구 앞,37.555199,127.010048
ST-1969,서울특별시 영등포구 여의도동 8-1,,37.528637,126.912674
ST-1968,서울특별시 영등포구 영등포동8가 29-1,,37.526302,126.90538
ST-1967,서울특별시 영등포구 신길로 275 영등포문화원,,37.514812,126.911705
ST-1966,서울특별시 구로구 가마산로 141,,37.488647,126.88047
ST-1965,서울특별시 구로구 구로동 467-62,,37.495453,126.880394
ST-1964,서울특별시 구로구 경인로 673-1 가로판매대,,37.510063,126.889565
ST-1963,서울특별시 구로구 구로동 635-32,,37.499813,126.874313
ST-1962,서울특별시 구로구 고척동 60-42,,37.50452,126.870552
ST-1961,서울특별시 구로구 중앙로6길 5-15 청구아파트,,37.50119,126.863533
ST-1960,서울특별시 구로구 개봉로19길 87 로얄파크,,37.493965,126.853043
ST-196,서울특별시 중구 장충동2가 200-99,장충체육관,37.558533,127.006989
ST-1959,서울특별시 구로구 오리로 1100 천왕연지타워,,37.483665,126.841614
ST-1958,서울특별시 구로구 천왕로 56 천왕 이펜하우스 3단지,,37.482239,126.838531
ST-1957,서울특별시 구로구 천왕동 277-4,,37.479897,126.84037
ST-1956,서울특별시 구로구 항동 220,,37.474731,126.817009
ST-1955,서울특별시 구로구 부광로 96-16 항동 제일풍경채 포레스트,,37.476036,126.816589
ST-1954,서울특별시 구로구 항동 135-53,,37.479343,126.825638
ST-1953,서울특별시 구로구 항동 135-33,,37.47937,126.82547
ST-1952,서울특별시 구로구 항동 120-7,,37.479832,126.822754
ST-1951,서울특별시 구로구 항동 115-2,,37.480095,126.822487
ST-1950,서울특별시 구로구 항동 169-1,,37.47794,126.823273
ST-195,서울특별시 중구 동호로 330,CJ제일제당 앞,37.563866,127.002747
ST-1949,서울특별시 구로구 항동 169-1,,37.477905,126.823112
ST-1948,서울 구로구 항동 100-5,,37.480808,126.821907
ST-1947,서울특별시 구로구 항동 100-14,,37.480629,126.821815
ST-1946,서울특별시 구로구 항동 75-2,,37.482597,126.826454
ST-1945,서울특별시 구로구 항동 80-6,,37.48251,126.82576
ST-1944,서울특별시 구로구 항동 194-4,,37.477375,126.820015
ST-1943,서울특별시 구로구 항동 204-3,,37.477562,126.819763
ST-1942,서울특별시 구로구 중앙로1길 18-19 우성현대아파트,,37.499084,126.863274
ST-1941,서울특별시 금천구 독산동 995-6,,37.475071,126.903358
ST-1940,서울특별시 금천구 시흥대로 291 금천롯데캐슬골드파크3차,,37.459019,126.896713
ST-194,서울특별시 중구 세종대로 지하2,서울역9번출구,37.556,126.973358
ST-1939,서울특별시 금천구 시흥대로 155,,37.447853,126.902885
ST-1938,서울특별시 금천구 벚꽃로 298 대륭포스트타워6차,,37.480888,126.883804
ST-1937,서울특별시 금천구 독산동 1091,,37.457779,126.889427
ST-1936,서울특별시 금천구 시흥동 113-155,,37.456333,126.896454
ST-1935,서울특별시 금천구 시흥동 1000-35,,37.45652,126.899551
ST-1934,서울특별시 금천구 시흥대로 296 위너스스포츠클럽,,37.460537,126.898605
ST-1933,서울특별시 금천구 시흥대로 315 금천롯데캐슬골드파크4차,,37.461346,126.897583
ST-1932,서울특별시 금천구 시흥대로 46 중앙철재종합상가,,37.436981,126.903297
ST-1931,서울특별시 금천구 시흥대로 165 남서울힐스테이트아파트,,37.446526,126.900238
ST-1930,서울특별시 서초구 잠원로 104-2 구두수선대,,37.519592,127.013191
ST-193,서울특별시 중구 다산로 지하260,청계7가 사거리,37.569805,127.016953
ST-1929,서울특별시 서초구 반포대로 201 국립중앙도서관,,37.497211,127.004272
ST-1928,서울특별시 서초구 강남대로 617-2 구두수선대,,37.516541,127.01915
ST-1927,서울특별시 서초구 동작대로 164,,37.491222,126.982956
ST-1926,서울특별시 서초구 강남대로 477-2 가로분식점,,37.505089,127.023911
ST-1925,서울특별시 서초구 신원동 66-8,,37.430977,127.070335
ST-1924,서울특별시 서초구 사평대로 108 반포골프백화점,,37.49905,126.996254
ST-1923,서울특별시 서초구 잠원로14길 10,,37.520267,127.015251
ST-1922,서울특별시 서초구 강남대로 209-2 가로분식점,,37.482571,127.036438
ST-1921,서울특별시 서초구 양재대로12길 73-48 서초종합체육관,,37.459248,127.041634
ST-1920,서울특별시 서초구 반포대로 275 래미안퍼스티지아파트,,37.503624,126.997322
ST-192,서울특별시 중구 세종대로 지하2,서울역 4번출구 앞,37.557217,126.973007
ST-1919,서울특별시 서초구 내곡동 1-3031,,37.455631,127.080978
ST-1918,서울특별시 서초구 남부순환로 2406 예술의전당,,37.480877,127.014526
ST-1917,서울특별시 서초구 서초동 산150-124,,37.478203,127.008781
ST-1916,서울특별시 서초구 방배로 239 현대멤피스아파트,,37.494205,126.989357
ST-1915,서울특별시 서초구 방배로 264-2 구두수선대,,37.497795,126.987068
ST-1914,서울특별시 서초구 방배로 194-2 구두수선대,,37.489918,126.992081
ST-1913,서울특별시 서초구 방배로 230-1,,37.493771,126.990067
ST-1912,서울특별시 서초구 반포동 12,,37.50296,126.993599
ST-1911,서울특별시 서초구 신반포로 143 경남쇼핑센터,,37.504787,126.999924
ST-1910,서울특별시 서초구 신반포로 165 반포쇼핑타운,,37.505608,127.002159
ST-191,서울특별시 중구 창경궁로 지하51,을지로4가역 4번출구 앞,37.568264,126.998116
ST-1909,서울특별시 서초구 신반포로 219 반포쇼핑타운,,37.507351,127.008018
ST-1908,서울특별시 서초구 잠원로 69 킴스클럽,,37.510193,127.007256
ST-1907,서울특별시 서초구 신반포로 270 반포자이아파트,,37.506378,127.010391
ST-1906,서울특별시 서초구 서초동 1688-12,,37.495564,127.01918
ST-1905,서울특별시 서초구 서초동 1370,,37.496193,127.021011
ST-1904,서울특별시 서초구 서초동 1418,,37.491009,127.023521
ST-1903,서울특별시 서초구 서초동 1392,,37.487316,127.024895
ST-1902,서울특별시 서초구 서초동 1335-2,,37.487682,127.024788
ST-1901,서울특별시 서초구 신원동 136-3,,37.454418,127.052742
ST-1900,서울특별시 서초구 서초동 1417,,37.498928,127.024727
ST-190,서울특별시 중구 다산로40길 37,다산 어린이공원,37.563717,127.018425
ST-19,서울특별시 마포구 독막로 지하165,243-3,37.547733,126.931763
ST-1899,서울특별시 서초구 반포동 30-16,,37.503643,127.016022
ST-1898,서울특별시 강남구 언주로30길 21 아카데미스위트,,37.488865,127.051575
ST-1897,서울특별시 강남구 대치동 507-4,,37.494118,127.062904
ST-1896,서울특별시 강남구 테헤란로 152 강남파이낸스센터,,37.500244,127.036057
ST-1895,서울특별시 강남구 선릉로 845,,37.527454,127.040428
ST-1894,서울특별시 강남구 선릉로 30 개포빌딩,,37.482368,127.061188
ST-1893,서울특별시 강남구 개포로 402 개포고등학교,,37.484852,127.058373
